x,y_coord,y_obs,y_hat,alpha,beta_Intercept,se_Intercept,t_Intercept,p_Intercept,beta_income,se_income,t_income,p_income,beta_unemployment,se_unemployment,t_unemployment,p_unemployment
-76.01719778149817,39.53544524327369,12066.0,5476.806476756231,0.4935227470996996,-2.088326099837663,0.09554122589552426,-21.85785330116319,0.0,-0.294596498097005,0.09479778601057391,-3.1076305733991,0.0018859365337660083,0.18264846476875332,0.09046724912896205,2.0189457127008024,0.04349286226601912
-77.52504702111577,39.15947284085935,782.0,1174.6072220609797,0.4935227470996996,-2.085756923497809,0.08334076044778398,-25.026852554394576,0.0,-0.25303946967837704,0.08351744975425399,-3.029779649916674,0.0024473221937766354,0.15155787579259725,0.08214836210162543,1.8449287595668136,0.06504790244764602
-75.63630936039878,38.37856593062713,5570.0,4715.56674789401,0.4935227470996996,-2.084604590265195,0.09592151893200446,-21.732397625426483,0.0,-0.26926603658093023,0.09582425938119421,-2.8099986195538964,0.004954171246842387,0.21345586225948787,0.09066614782630791,2.354306070976041,0.01855732401467791
-76.36184386923286,39.644517479225904,10258.0,9908.931315373375,0.4935227470996996,-2.085978385357655,0.09355351344336395,-22.297167776819826,0.0,-0.2905534251176391,0.09295226997028079,-3.1258346376106405,0.0017730121919008468,0.16983288454336606,0.0895227243388187,1.8970924510808638,0.05781573735900203
-79.07620193450558,39.30175162713843,9760.0,9411.209877350417,0.4935227470996996,-2.116338722576797,0.10008884935490317,-21.144600384729284,0.0,-0.22257992290813453,0.0992919267211335,-2.2416719088678954,0.024982584704398736,0.11244983780142073,0.10123669631685919,1.1107616298487824,0.26667096647488564
-75.1096994176346,39.190402340486195,23.0,245.12922338326774,0.4935227470996996,-2.1007339869570134,0.10809489386241328,-19.434164851772707,0.0,-0.3008050729989413,0.10703835226243899,-2.810255078118363,0.004950224982787521,0.21603123174436137,0.09978812397527233,2.164899219849992,0.03039540397742657
-76.0748713410434,38.70885070385882,1194.0,3056.5816815439157,0.4935227470996996,-2.0820543762368704,0.08824265248315503,-23.594648592802912,0.0,-0.2712525563480232,0.08816677007356735,-3.0765849324148653,0.002093866418655388,0.1977458495105481,0.08405559221862126,2.352560303141145,0.018644666333631932
-75.96271062625371,38.390034811321286,2123.0,2045.2996172096064,0.4935227470996996,-2.0805196097696443,0.09102511847482352,-22.856543826911818,0.0,-0.2645198813177552,0.0910425628096972,-2.9054529349165077,0.0036672199671363703,0.20633102534685377,0.08670229867118426,2.3797641874451068,0.017323720098998407
-78.92348865296005,38.0735037318763,2678.0,6536.673839081533,0.4935227470996996,-2.0989632906571103,0.10238772076492572,-20.500146648211533,0.0,-0.17821695528467227,0.10355368497532304,-1.7210102694765674,0.08524896039289898,0.15454272392599824,0.10090928141197492,1.5315015800683192,0.1256454762161925
-77.47326327946995,39.52468431377892,3234.0,1421.9424289760718,0.4935227470996996,-2.08774065424105,0.08717471944147995,-23.948923123779505,0.0,-0.26369222794858216,0.0870922910101822,-3.027733280294041,0.002463954547158753,0.142353776802953,0.08596433353403972,1.6559632460430171,0.0977292621410728
